ask,bid,last,open,low,high,volume,volumeQuote,timestamp
6740.17,6735.92,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.646Z
6740.17,6735.92,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.646Z
6740.17,6735.92,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.646Z
6740.17,6735.92,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.646Z
6740.17,6735.92,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.646Z
6740.17,6736.22,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.948Z
6740.17,6736.22,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.948Z
6740.17,6736.22,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.948Z
6740.17,6736.22,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.948Z
6740.36,6737.91,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.148Z
6740.36,6737.91,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.148Z
6740.36,6737.91,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.148Z
6740.36,6737.91,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.148Z
6740.36,6738.10,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.451Z
6740.36,6738.10,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.451Z
6740.36,6738.10,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.451Z
6740.36,6738.10,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.451Z
6740.36,6738.10,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.451Z
6740.36,6738.10,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.451Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.848Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.848Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.949Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.949Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:10.949Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.149Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.149Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.149Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.149Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.347Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.347Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.347Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.347Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.347Z
6740.36,6738.23,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.347Z
6740.16,6738.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.650Z
6740.16,6738.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.650Z
6740.17,6738.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.748Z
6740.17,6738.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.748Z
6740.17,6738.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.748Z
6740.17,6738.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.748Z
6740.14,6736.69,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.947Z
6740.14,6736.69,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:11.947Z
6740.08,6736.51,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.047Z
6740.08,6736.51,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.047Z
6739.56,6736.50,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.147Z
6739.56,6736.50,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.147Z
6739.56,6736.50,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.249Z
6739.56,6736.50,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.249Z
